Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,694.754028,701.932983,682.754028,689.843994,689.843994,0
2022-06-01,643.786011,647.442017,642.570007,647.283997,647.283997,0
2022-06-02,659.184998,664.513000,658.841003,663.142029,663.142029,0
2022-06-03,659.184998,665.189026,636.864014,641.577026,641.577026,0
2022-06-06,651.463989,687.705994,649.588013,677.197998,677.197998,0
2022-06-07,676.966003,677.517029,675.952026,675.952026,675.952026,0
2022-06-08,658.528992,658.658997,656.666016,656.666016,656.666016,0
2022-06-09,653.616028,653.721008,651.544983,651.544983,651.544983,0
2022-06-10,653.616028,655.005981,622.385986,627.908997,627.908997,0
2022-06-13,485.597992,486.407013,482.765015,484.036011,484.036011,0
2022-06-14,455.901001,458.415009,455.901001,457.834991,457.834991,0
2022-06-15,455.901001,472.372986,421.747009,464.433990,464.433990,0
2022-06-16,476.082001,487.816010,437.095001,437.095001,437.095001,0
2022-06-17,439.773010,448.451996,427.845001,438.005005,438.005005,0
2022-06-21,449.066986,449.066986,445.484009,448.558990,448.558990,0
2022-06-22,449.066986,449.066986,423.975006,423.975006,423.975006,0
2022-06-23,444.686005,452.031006,444.295013,450.233002,450.233002,0
2022-06-24,444.686005,465.011993,444.295013,462.122009,462.122009,0
2022-06-27,453.946991,456.528992,453.638000,454.832001,454.832001,0
2022-06-28,443.187012,443.437988,439.675995,439.675995,439.675995,0
2022-06-29,436.884003,437.453003,435.816986,435.816986,435.816986,0
2022-06-30,405.472992,407.505005,403.765015,407.183990,407.183990,0
2022-07-01,405.472992,440.066986,403.765015,420.834991,420.834991,0
2022-07-05,440.759003,441.309998,438.595001,441.156006,441.156006,0
2022-07-06,441.549011,446.447998,441.549011,446.332001,446.332001,0
2022-07-07,468.958008,469.993988,467.113007,467.826996,467.826996,0
2022-07-08,468.958008,481.790985,459.039001,472.112000,472.112000,0
2022-07-11,435.506012,435.506012,427.579010,427.579010,427.579010,0
2022-07-12,414.148010,415.602997,414.148010,415.602997,415.602997,0
2022-07-13,426.510010,427.502991,425.208008,425.341003,425.341003,0
2022-07-14,444.294006,445.743011,444.121002,445.187012,445.187012,0
2022-07-15,444.294006,462.971008,443.307007,458.536987,458.536987,0
2022-07-18,470.119995,510.458008,464.036011,489.160004,489.160004,0
2022-07-19,492.234985,531.426025,491.558014,523.547974,523.547974,0
2022-07-20,528.857971,528.857971,520.387024,520.387024,520.387024,0
2022-07-21,528.857971,528.857971,503.799011,526.254028,526.254028,0
2022-07-22,525.473022,537.056030,509.812012,509.812012,509.812012,0
2022-07-25,500.075012,500.075012,490.307007,490.307007,490.307007,0
2022-07-26,500.075012,500.075012,466.315002,468.838013,468.838013,0
2022-07-27,519.382019,521.028992,519.382019,521.028992,521.028992,0
2022-07-28,519.382019,558.565002,519.382019,552.482971,552.482971,0
2022-07-29,553.723999,559.710999,538.862976,551.239990,551.239990,0
2022-08-01,545.297974,545.297974,525.739014,528.788025,528.788025,0
2022-08-02,528.166992,538.426025,517.531006,530.395020,530.395020,0
2022-08-03,530.963989,541.997986,520.192993,534.556030,534.556030,0
2022-08-04,517.357971,519.661987,516.565979,519.575989,519.575989,0
2022-08-05,517.357971,544.184021,516.565979,533.200989,533.200989,0
2022-08-08,556.538025,556.666016,554.544983,554.544983,554.544983,0
2022-08-09,539.418030,540.864990,538.411987,538.624023,538.624023,0
2022-08-10,565.911011,566.452026,565.318970,565.742981,565.742981,0
2022-08-11,573.575012,573.575012,571.169983,571.169983,571.169983,0
2022-08-12,573.575012,576.518982,561.518005,574.393982,574.393982,0
2022-08-15,571.479980,573.844971,571.057983,573.039001,573.039001,0
2022-08-16,568.731995,568.874023,566.455017,567.799011,567.799011,0
2022-08-17,568.731995,583.729980,566.033997,566.794006,566.794006,0
2022-08-18,557.841980,558.068970,557.145996,557.421021,557.421021,0
2022-08-19,557.841980,558.068970,504.687988,504.881989,504.881989,0
2022-08-22,492.260010,496.083008,492.260010,496.083008,496.083008,0
2022-08-23,506.079987,508.256012,506.046997,506.802002,506.802002,0
2022-08-24,511.502991,511.502991,507.136993,507.278992,507.278992,0
2022-08-25,511.502991,516.848999,505.052002,514.283020,514.283020,0
2022-08-26,512.713013,515.835022,481.928009,484.928986,484.928986,0
